Description,,Summary Amt.,
Beginning balance as of 05/13/2016,,3669.72,
Total credits,,4556.01,
Total debits,,-3522.12,
Ending balance as of 06/14/2016,,4703.61,
,,,
Date,Description,Amount,Running Bal.
5/13/16,Beginning balance as of 05/13/2016,,3669.72
5/13/16,"SAMSUNG ELECTRON DES:DIRECT DEP ID:XXXXX96793244AF INDN:NATARAJAN,ASHWIN S CO ID:XXXXX11103 PPD",2274.52,5944.24
5/16/16,IKEA EAST PALO 05/14 #000421071 PURCHASE IKEA EAST PALO AL PALO ALTO CA,-32.69,5911.55
5/16/16,NEW INDIA BAZA 05/14 #000420509 PURCHASE NEW INDIA BAZAR MILPITAS CA,-29.29,5882.26
5/16/16,NEW INDIA BAZA 05/14 #000820846 PURCHASE NEW INDIA BAZAR MILPITAS CA,-1.01,5881.25
5/18/16,CHECKCARD 0516 NORTH CAPITOL VALERO SAN JOSE CA 24427336138120002412942,-48.02,5833.23
5/18/16,ATT DES:Payment ID:XXXXX9004COL1S INDN:Bank of America CO ID:XXXXX31005 WEB,-172.65,5660.58
5/19/16,CHECKCARD 0518 USPS CHANGE OF66100959 800-2383150 TN 24164076139418209712843,-1,5659.58
5/19/16,CHECKCARD 0518 INDIA CASH & CARRY SUNNYVALE CA 24013396139002404163161,-67.51,5592.07
5/20/16,SAN JOSE WATER C DES:PAYMENT ID:XXXXX51720 INDN:Ashwin S Natarajan CO ID:XXXXX38465 PPD,-74.93,5517.14
5/23/16,MADRAS GROCERI 05/22 #000577458 PURCHASE MADRAS GROCERIES SUNNYVALE CA,-74.96,5442.18
5/23/16,ISPA/PIMDS 05/22 #000006191 WITHDRWL PAI ISO MILPITAS CA,-202.95,5239.23
5/23/16,ISPA/PIMDS 05/22 #000006191 WITHDRWL PAI ISO MILPITAS CA FEE,-2.5,5236.73
5/24/16,CHECKCARD 0523 STANFORD UNIV 25749508 PALO ALTO CA 24164076144579030186961,-13.67,5223.06
5/24/16,TARGET T- 2485 05/24 #000122892 PURCHASE TARGET T- 2485 El Redwood City CA,-31.28,5191.78
5/25/16,CHECKCARD 0524 STANFORD UNIV 25749508 PALO ALTO CA 24164076145579640375144,-17.16,5174.62
5/25/16,CHECKCARD 0524 WALGREENS #2147 PALO ALTO CA 24445006146600237970571,-2.17,5172.45
5/25/16,CHECKCARD 0524 STANFORD UNIV 25749508 PALO ALTO CA 24164076145579030189311,-2.49,5169.96
5/25/16,PROG SELECT INS DES:INS PREM ID:62362071 ASHWI INDN:ASHWIN S NATARAJAN CO ID:XXXXX48062 PPD,-213.16,4956.8
5/26/16,CHECKCARD 0525 CITY OF SAN JOSE SAN JOSE CA 24493986147206809100507,-0.5,4956.3
5/26/16,CHECKCARD 0525 FEDEXOFFICE 00029017 SAN JOSE CA 24164076146069100313511,-2.49,4953.81
5/26/16,CHECKCARD 0525 TRADER JOE'S #212 QPS SAN JOSE CA 24493986147191000365424,-8.98,4944.83
5/26/16,CHECKCARD 0525 FEDEXOFFICE 00029017 SAN JOSE CA 24164076146069011135177,-4.6,4940.23
5/27/16,CHECKCARD 0525 NORTH CAPITOL VALERO SAN JOSE CA 24427336147120002705401,-48.25,4891.98
5/27/16,CHECKCARD 0525 PAMF 2652 EL CAMINO M SANTA CLARA CA 24431066147207048200047,-20,4871.98
5/27/16,CHECKCARD 0525 ROYS STATION SAN JOSE CA 24269796147100885667072,-5,4866.98
5/27/16,MADRAS GROCERI 05/26 #000313981 PURCHASE MADRAS GROCERIES SUNNYVALE CA,-29.92,4837.06
5/27/16,BKOFAMERICA ATM 05/27 #000009934 WITHDRWL HESTER SAN JOSE CA,-100,4737.06
5/31/16,"SAMSUNG ELECTRON DES:DIRECT DEP ID:XXXXX32514744AF INDN:NATARAJAN,ASHWIN S CO ID:XXXXX11103 PPD",2274.51,7011.57
5/31/16,CHECKCARD 0527 PAMF 2652 EL CAMINO M SANTA CLARA CA 24431066149207048400058,-20,6991.57
5/31/16,CHECKCARD 0527 CITY OF SAN JOSE SAN JOSE CA 24493986149206809609950,-1.5,6990.07
5/31/16,COSTCO WHSE #1 05/28 #000419331 PURCHASE COSTCO WHSE #1004 SAN JOSE CA,-251.34,6738.73
5/31/16,CVS/PHARM 0981 05/28 #000112145 PURCHASE CVS/PHARM 09812-- San Jose CA,-43.79,6694.94
5/31/16,CHECKCARD 0528 CROPLEY PURE WATER SAN JOSE CA 24760626150415201286572,-19.5,6675.44
5/31/16,TARGET T- 2155 05/28 #000525439 PURCHASE TARGET T- 2155 Mo San Jose CA,-6.51,6668.93
5/31/16,TARGET T- 298 05/28 #000624358 PURCHASE TARGET T- 298 W M Sunnyvale CA,-23.37,6645.56
5/31/16,CHECKCARD 0530 COCONUT HILL FREMONT CA 24765016152006000680953,-87.79,6557.77
5/31/16,CHECKCARD 0530 COCONUT HILL FREMONT CA 24765016152006000681043,-14.18,6543.59
5/31/16,MADRAS GROCERI 05/30 #000202553 PURCHASE MADRAS GROCERIES SUNNYVALE CA,-11.74,6531.85
5/31/16,SPROUTS FARMER 05/30 #000205827 PURCHASE SPROUTS FARMERS M SUNNYVALE CA,-9.78,6522.07
5/31/16,P285365 05/31 #000000086 WITHDRWL 1140 N CAPITOL AV SAN JOSE CA,-203,6319.07
5/31/16,TARGET T- 95 H 05/31 #000021365 PURCHASE TARGET T- 95 Holg San Jose CA,-6.5,6312.57
5/31/16,P285365 05/31 #000000086 WITHDRWL 1140 N CAPITOL AV SAN JOSE CA FEE,-2.5,6310.07
6/1/16,TARGET T- 533 06/01 #000919247 PURCHASE TARGET T- 533 Col San Jose CA,-69.9,6240.17
6/2/16,CHECKCARD 0601 FEDEXOFFICE 00003426 SAN JOSE CA 24164076153069016012850,-1.94,6238.23
6/2/16,CHECKCARD 0602 COMCAST CALIFORNIA 800-COMCAST CA 24692166154000638251518,-114.97,6123.26
6/3/16,CHECKCARD 0601 PAMF 2652 EL CAMINO M SANTA CLARA CA 24431066154207048600063,-20,6103.26
6/3/16,COSTCO GAS #10 06/03 #000542551 PURCHASE COSTCO GAS #1004 SAN JOSE CA,-46.74,6056.52
6/3/16,TARGET T- 2074 06/03 #000031089 PURCHASE TARGET T- 20745 S Cupertino CA,-15.75,6040.77
6/3/16,Online Banking payment to CRD 2089 Confirmation# 3901106231,-500,5540.77
6/3/16,PGANDE DES:WEB ONLINE ID:XXXXX894060216 INDN:ASHWIN NATARAJAN CO ID:XXXXX42640 WEB,-72.04,5468.73
6/3/16,PROG WEST DES:INS PREM ID:38066859 BANK INDN:BANK OF AMERICA CO ID:XXXXX48062 PPD,-44.17,5424.56
6/6/16,CHECKCARD 0603 CHROMATIC COFFEE SANTA CLARA CA 24269796156101072926402,-12.34,5412.22
6/6/16,CHECKCARD 0603 COCONUT HILL FREMONT CA 24765016156006000687996,-27.36,5384.86
6/6/16,CHECKCARD 0604 HLU*Hulu 10235911-U HULU.COM/BILLCA 24906416156026809996994 RECURRING,-7.99,5376.87
6/6/16,NEW INDIA BAZA 06/05 #000859061 PURCHASE NEW INDIA BAZAR MILPITAS CA,-30.72,5346.15
6/7/16,"CARDMEMBER SERV DES:WEB PYMT ID:***********8313 INDN:NATARAJAN,ASHWIN S CO ID:XXXXX11111 WEB",-100,5246.15
6/7/16,SAN JOSE WATER C DES:PAYMENT ID:XXXXX51720 INDN:Ashwin S Natarajan CO ID:XXXXX38465 PPD,-9.47,5236.68
6/8/16,CHECKCARD 0607 FASTRAK CSC 415-486-8655 CA 24431066159672268072613,-25,5211.68
